15005671,101,walmart,250.0,04-15-2020 21:50:53
13479012,101,best buy,100.0,04-15-2020 21:52:40
13479012,101,bjs,20.0,04-15-2020 21:54:36
12398125,101,taco bell,10.25,04-15-2020 21:58:53
12398125,101,walmart,25.0,04-16-2020 11:20:07
15005671,101,old navy,26.0,04-16-2020 11:21:51
12378901,101,bjs wholesale club,26.25,04-16-2020 11:27:47
12398125,101,amazon,30.0,04-16-2020 14:00:17
12378901,101,bjs,23.0,04-20-2020 12:52:36
12398125,101,walmart,56.0,04-20-2020 20:41:24
12398125,101,gfngfn,60.0,04-20-2020 20:43:31
53351295,101, Wendys,50.0,04-23-2020 19:00:17
12398125,101,Best Buy,25.0,07-21-2020 14:32:46
